column,domain,weight_pct,direction
hba1c_percent,Glycaemic/Metabolic,8,up_bad
fbs_mg_dl,Glycaemic/Metabolic,4,up_bad
ppbs_mg_dl,Glycaemic/Metabolic,3,up_bad
systolic_bp_mmhg,Blood Pressure,7,up_bad
diastolic_bp_mmhg,Blood Pressure,5,up_bad
ldl_mg_dl,Lipids,3.5,up_bad
hdl_mg_dl,Lipids,3,down_bad
triglycerides_mg_dl,Lipids,2.5,up_bad
cho_hdl_ratio,Lipids,2,up_bad
tgl_hdl_ratio,Lipids,1,up_bad
creatinine_mg_dl,Renal,6,up_bad
bun_mg_dl,Renal,3,up_bad
alt_sgpt_u_l,Hepatic,2,up_bad
ast_sgot_u_l,Hepatic,1.5,up_bad
ggt_u_l,Hepatic,1.5,up_bad
alp_u_l,Hepatic,1,up_bad
bilirubin_total_mg_dl,Hepatic,1,up_bad
albumin_g_dl,Hepatic,1,down_bad
total_protein_g_dl,Hepatic,0.5,band
globulin_g_dl,Hepatic,0.5,band
bmi,Anthropometric,8,band
haemoglobin_g_dl,Haematology,3.5,down_bad
total_wbc_cells_cumm,Haematology,1.5,band
platelet_count_lakhs_cumm,Haematology,1.5,band
rdw_cv_percent,Haematology,0.75,up_bad
mcv_fl,Haematology,0.75,band
rbc_million_cmm,Haematology,0.5,band
neutrophils_percent,Haematology,0.25,band
lymphocytes_percent,Haematology,0.25,band
vo2_max_ml_kg_min,Fitness,4,down_bad
duke_treadmill_score,Fitness,2,down_bad
resting_hr_bpm,Fitness,2,up_bad
crp_mg_l,Inflammatory,2.5,up_bad
esr_mm_hr,Inflammatory,1.5,up_bad
uric_acid_mg_dl,Inflammatory,1.5,up_bad
ra_factor_iu_ml,Inflammatory,0.5,up_bad
tsh_uiu_ml,Thyroid,3,band
total_t4_ug_dl,Thyroid,1,band
total_t3_ng_dl,Thyroid,1,band
vitamin_d_ng_ml,Nutrition,2,down_bad
vitamin_b12_pg_ml,Nutrition,1.5,down_bad
ferritin_ng_ml,Nutrition,1.5,band
qtcb_ms,ECG,1,up_bad
urine_pus_cells_hpf,Urine,0.4,up_bad
urine_rbc_hpf,Urine,0.3,up_bad
urine_specific_gravity,Urine,0.2,band
urine_ph,Urine,0.1,band
